run_id	source_id	url	final_url	page_title	jurisdiction	notes	captured_at_utc	file_path	file_bytes	sha256	status
2026-04-16_dashcap03	AZ_ADHS_RESP_DASHBOARD	https://www.azdhs.gov/preparedness/epidemiology-disease-control/flu/index.php#dashboard	https://www.azdhs.gov/preparedness/epidemiology-disease-control/flu/index.php#dashboard	亚利桑那州卫生服务部 (ADHS) - 亚利桑那州流感 - 主页	state	Arizona ADHS Respiratory Virus Dashboard (Tableau)	2026-04-15T23:57:25.483374+00:00	evidence/dashboard_capture/2026-04-16_dashcap03/AZ_ADHS_RESP_DASHBOARD.png	97783	00b683326edea42095a55ca31314d4b9bcbadece0e61669dcfcd20412086fff7	ok
2026-04-16_dashcap03	NV_SNHD_FLU_SURV_PAGE	https://www.southernnevadahealthdistrict.org/stats-reports/influenza-surveillance/	https://www.southernnevadahealthdistrict.org/news-info/statistics-surveillance-reports/influenza-surveillance/	Influenza Surveillance – Southern Nevada Health District	county	Clark County/SNHD Influenza Surveillance reports (PDF/Dashboard)	2026-04-15T23:57:46.189951+00:00	evidence/dashboard_capture/2026-04-16_dashcap03/NV_SNHD_FLU_SURV_PAGE.png	169444	39c80062c0b5b31aefecfdaece4f90dc8ab1c12a3c100270a5aa9aa0b2d46185	ok
2026-04-16_dashcap03	GA_DPH_RESP_STATUS_REPORT	https://dph.georgia.gov/epidemiology/acute-disease-epidemiology/viral-respiratory-diseases	https://dph.georgia.gov/epidemiology/acute-disease-epidemiology/viral-respiratory-diseases	Viral Respiratory Diseases | Georgia Department of Public Health	state	Georgia DPH viral respiratory diseases landing page (respiratory virus surveillance links; previously used URL returned 404 on 2026-04-16)	2026-04-15T23:58:27.231729+00:00	evidence/dashboard_capture/2026-04-16_dashcap03/GA_DPH_RESP_STATUS_REPORT.png	118468	312f0c195fd058781112fb725ea0deebc5e3b1b14fc790ae1662c00a2f9e40c3	ok
