y_delay_weeks	subset	context	horizon_weeks	pathogen	n_series	mean_rmse_naive_persistence	mean_rmse_ridge_ar	mean_rmse_ridge_fusion	mean_rmse_ridge_ww_only	frac_fusion_better_than_ar	mean_delta_rmse_fusion_minus_ar
0	geo_matched_state	early_warning	1	COVID-19	50	0.0702668070554254	0.1098357464171238	0.1382410071365907	0.522923231355121	0.1	0.028405260719466904
0	geo_matched_state	early_warning	1	Influenza	49	0.0682441697995978	0.2122949118879704	0.238245331261057	0.5652745423304362	0.1224489795918367	0.025950419373086592
0	geo_matched_state	early_warning	1	RSV	49	0.0682441697995978	0.1167755606766043	0.1996128191935181	1.488027571709798	0.1020408163265306	0.08283725851691379
0	geo_matched_state	early_warning	2	COVID-19	50	0.0742846409528435	0.1441664825300249	0.1857759185909233	0.5267155320741221	0.1	0.0416094360608984
0	geo_matched_state	early_warning	2	Influenza	49	0.0722052781122127	0.289697989980721	0.3214180895877983	0.5688168624803548	0.1632653061224489	0.03172009960707728
0	geo_matched_state	early_warning	2	RSV	49	0.0722052781122127	0.1560488373562687	0.2845774330004975	1.4924819256361217	0.0816326530612244	0.12852859564422878
0	geo_matched_state	early_warning	3	COVID-19	50	0.0790650775264309	0.1784903576945369	0.2360264704956634	0.5334604695655706	0.08	0.0575361128011265
0	geo_matched_state	early_warning	3	Influenza	49	0.0773151219320331	0.3547150406160713	0.39008903146746	0.5725471998794264	0.1836734693877551	0.035373990851388704
0	geo_matched_state	early_warning	3	RSV	49	0.0773151219320331	0.2001066340370813	0.3752055983655928	1.497628394706207	0.1020408163265306	0.17509896432851152
0	geo_matched_state	early_warning	4	COVID-19	50	0.0852641240068324	0.2088078099894461	0.2797964977772542	0.5394174006178183	0.06	0.07098868778780809
0	geo_matched_state	early_warning	4	Influenza	49	0.0832314930295499	0.4001367789436585	0.4403322687045481	0.5785132659925796	0.2040816326530612	0.0401954897608896
0	geo_matched_state	early_warning	4	RSV	49	0.0832314930295499	0.2442052570680816	0.4612934465103512	1.5047180656053636	0.1020408163265306	0.2170881894422696
0	geo_matched_state	with_current_y	1	COVID-19	50	0.0605685953605113	0.0756689297631397	0.0913411874107333	0.522923231355121	0.04	0.0156722576475936
0	geo_matched_state	with_current_y	1	Influenza	49	0.0582975927206044	0.1331710048210781	0.1489014905043641	0.5652745423304362	0.1632653061224489	0.015730485683286
0	geo_matched_state	with_current_y	1	RSV	49	0.0582975927206044	0.0815672300396465	0.1293127566530034	1.488027571709798	0.1020408163265306	0.0477455266133569
0	geo_matched_state	with_current_y	2	COVID-19	50	0.0702668070554254	0.1104741159815104	0.1400233394435124	0.5267155320741221	0.08	0.02954922346200199
0	geo_matched_state	with_current_y	2	Influenza	49	0.0682441697995978	0.221351990420898	0.2467888408635964	0.5688168624803548	0.1632653061224489	0.02543685044269839
0	geo_matched_state	with_current_y	2	RSV	49	0.0682441697995978	0.1212292004873167	0.2126781962313192	1.4924819256361217	0.0816326530612244	0.0914489957440025
0	geo_matched_state	with_current_y	3	COVID-19	50	0.0742846409528435	0.1447030472372111	0.1903768089600481	0.5334604695655706	0.1	0.04567376172283699
0	geo_matched_state	with_current_y	3	Influenza	49	0.0722052781122127	0.3010196413351076	0.3331616589059847	0.5725471998794264	0.1836734693877551	0.03214201757087709
0	geo_matched_state	with_current_y	3	RSV	49	0.0722052781122127	0.1621759601976646	0.297420136789827	1.497628394706207	0.1020408163265306	0.1352441765921624
0	geo_matched_state	with_current_y	4	COVID-19	50	0.0790650775264309	0.1786677363742259	0.2421266298494546	0.5394174006178183	0.06	0.0634588934752287
0	geo_matched_state	with_current_y	4	Influenza	49	0.0773151219320331	0.3683751310884629	0.4083155493482467	0.5785132659925796	0.1836734693877551	0.03994041825978378
0	geo_matched_state	with_current_y	4	RSV	49	0.0773151219320331	0.2082200025297051	0.3892156985042447	1.5047180656053636	0.1224489795918367	0.1809956959745396
1	geo_matched_state	early_warning	1	COVID-19	50	0.0742846409528435	0.1430228578230529	0.1839101866543767	0.522923231355121	0.08	0.04088732883132379
1	geo_matched_state	early_warning	1	Influenza	49	0.0722052781122127	0.2775388128324482	0.310987170112864	0.5652745423304362	0.1632653061224489	0.033448357280415786
1	geo_matched_state	early_warning	1	RSV	49	0.0722052781122127	0.1482361583777415	0.2656830382597072	1.488027571709798	0.1020408163265306	0.11744687988196567
1	geo_matched_state	early_warning	2	COVID-19	50	0.0790650775264309	0.1773551251891579	0.230987196305798	0.5267155320741221	0.1	0.05363207111664012
1	geo_matched_state	early_warning	2	Influenza	49	0.0773151219320331	0.341498486390045	0.3772117803471586	0.5688168624803548	0.2244897959183673	0.03571329395711359
1	geo_matched_state	early_warning	2	RSV	49	0.0773151219320331	0.1899106302354516	0.3560218633062768	1.4924819256361217	0.0816326530612244	0.16611123307082518
1	geo_matched_state	early_warning	3	COVID-19	50	0.0852641240068324	0.208221506179433	0.2726419189395565	0.5334604695655706	0.08	0.06442041276012353
1	geo_matched_state	early_warning	3	Influenza	49	0.0832314930295499	0.3856729116794301	0.4216207278250324	0.5725471998794264	0.1836734693877551	0.03594781614560233
1	geo_matched_state	early_warning	3	RSV	49	0.0832314930295499	0.2321486758748798	0.4428494862466725	1.497628394706207	0.0816326530612244	0.21070081037179267
1	geo_matched_state	early_warning	4	COVID-19	50	0.0910347577897734	0.2365866599676548	0.3131703057851861	0.5394174006178183	0.08	0.07658364581753133
1	geo_matched_state	early_warning	4	Influenza	49	0.088700259771904	0.4216146806488305	0.4606685710364092	0.5785132659925796	0.2244897959183673	0.03905389038757867
1	geo_matched_state	early_warning	4	RSV	49	0.0886994398630065	0.2726635869141705	0.5206340977376578	1.5047180656053636	0.1020408163265306	0.2479705108234873
1	geo_matched_state	with_current_y	1	COVID-19	50	0.0702668070554254	0.1098357464171238	0.1382410071365907	0.522923231355121	0.1	0.028405260719466904
1	geo_matched_state	with_current_y	1	Influenza	49	0.0682441697995978	0.2122949118879704	0.238245331261057	0.5652745423304362	0.1224489795918367	0.025950419373086592
1	geo_matched_state	with_current_y	1	RSV	49	0.0682441697995978	0.1167755606766043	0.1996128191935181	1.488027571709798	0.1020408163265306	0.08283725851691379
1	geo_matched_state	with_current_y	2	COVID-19	50	0.0742846409528435	0.1441664825300249	0.1857759185909233	0.5267155320741221	0.1	0.0416094360608984
1	geo_matched_state	with_current_y	2	Influenza	49	0.0722052781122127	0.289697989980721	0.3214180895877983	0.5688168624803548	0.1632653061224489	0.03172009960707728
1	geo_matched_state	with_current_y	2	RSV	49	0.0722052781122127	0.1560488373562687	0.2845774330004975	1.4924819256361217	0.0816326530612244	0.12852859564422878
1	geo_matched_state	with_current_y	3	COVID-19	50	0.0790650775264309	0.1784903576945369	0.2360264704956634	0.5334604695655706	0.08	0.0575361128011265
1	geo_matched_state	with_current_y	3	Influenza	49	0.0773151219320331	0.3547150406160713	0.39008903146746	0.5725471998794264	0.1836734693877551	0.035373990851388704
1	geo_matched_state	with_current_y	3	RSV	49	0.0773151219320331	0.2001066340370813	0.3752055983655928	1.497628394706207	0.1020408163265306	0.17509896432851152
1	geo_matched_state	with_current_y	4	COVID-19	50	0.0852641240068324	0.2088078099894461	0.2797964977772542	0.5394174006178183	0.06	0.07098868778780809
1	geo_matched_state	with_current_y	4	Influenza	49	0.0832314930295499	0.4001367789436585	0.4403322687045481	0.5785132659925796	0.2040816326530612	0.0401954897608896
1	geo_matched_state	with_current_y	4	RSV	49	0.0832314930295499	0.2442052570680816	0.4612934465103512	1.5047180656053636	0.1020408163265306	0.2170881894422696
2	geo_matched_state	early_warning	1	COVID-19	50	0.0790650775264309	0.1762321077240211	0.2277140596212732	0.522923231355121	0.08	0.051481951897252104
2	geo_matched_state	early_warning	1	Influenza	49	0.0773151219320331	0.3280936828191021	0.3672760712542735	0.5652745423304362	0.1836734693877551	0.039182388435171356
2	geo_matched_state	early_warning	1	RSV	49	0.0773151219320331	0.1805220312416879	0.3280057738355272	1.488027571709798	0.0816326530612244	0.1474837425938393
2	geo_matched_state	early_warning	2	COVID-19	50	0.0852641240068324	0.2069710407624173	0.2665565119202133	0.5267155320741221	0.1	0.059585471157796
2	geo_matched_state	early_warning	2	Influenza	49	0.0832314930295499	0.3730767691609373	0.4119590776841989	0.5688168624803548	0.2244897959183673	0.03888230852326163
2	geo_matched_state	early_warning	2	RSV	49	0.0832314930295499	0.2210907412331451	0.414429176260595	1.4924819256361217	0.0816326530612244	0.1933384350274499
2	geo_matched_state	early_warning	3	COVID-19	50	0.0910347577897734	0.2358255467429907	0.3051363070905891	0.5334604695655706	0.1	0.0693107603475984
2	geo_matched_state	early_warning	3	Influenza	49	0.088700259771904	0.4083996440516553	0.4453240480859263	0.5725471998794264	0.2857142857142857	0.036924404034271
2	geo_matched_state	early_warning	3	RSV	49	0.0886994398630065	0.2605509885092374	0.4941528583703001	1.497628394706207	0.0816326530612244	0.23360186986106268
2	geo_matched_state	early_warning	4	COVID-19	50	0.0939087123584786	0.260959717343256	0.3410342911189599	0.5394174006178183	0.08	0.08007457377570387
2	geo_matched_state	early_warning	4	Influenza	49	0.0918705631815001	0.4364226081227289	0.4745380682541639	0.5785132659925796	0.2653061224489796	0.03811546013143502
2	geo_matched_state	early_warning	4	RSV	49	0.0918689782113203	0.2960336024141872	0.5639823717174199	1.5047180656053636	0.1020408163265306	0.26794876930323275
2	geo_matched_state	with_current_y	1	COVID-19	50	0.0742846409528435	0.1430228578230529	0.1839101866543767	0.522923231355121	0.08	0.04088732883132379
2	geo_matched_state	with_current_y	1	Influenza	49	0.0722052781122127	0.2775388128324482	0.310987170112864	0.5652745423304362	0.1632653061224489	0.033448357280415786
2	geo_matched_state	with_current_y	1	RSV	49	0.0722052781122127	0.1482361583777415	0.2656830382597072	1.488027571709798	0.1020408163265306	0.11744687988196567
2	geo_matched_state	with_current_y	2	COVID-19	50	0.0790650775264309	0.1773551251891579	0.230987196305798	0.5267155320741221	0.1	0.05363207111664012
2	geo_matched_state	with_current_y	2	Influenza	49	0.0773151219320331	0.341498486390045	0.3772117803471586	0.5688168624803548	0.2244897959183673	0.03571329395711359
2	geo_matched_state	with_current_y	2	RSV	49	0.0773151219320331	0.1899106302354516	0.3560218633062768	1.4924819256361217	0.0816326530612244	0.16611123307082518
2	geo_matched_state	with_current_y	3	COVID-19	50	0.0852641240068324	0.208221506179433	0.2726419189395565	0.5334604695655706	0.08	0.06442041276012353
2	geo_matched_state	with_current_y	3	Influenza	49	0.0832314930295499	0.3856729116794301	0.4216207278250324	0.5725471998794264	0.1836734693877551	0.03594781614560233
2	geo_matched_state	with_current_y	3	RSV	49	0.0832314930295499	0.2321486758748798	0.4428494862466725	1.497628394706207	0.0816326530612244	0.21070081037179267
2	geo_matched_state	with_current_y	4	COVID-19	50	0.0910347577897734	0.2365866599676548	0.3131703057851861	0.5394174006178183	0.08	0.07658364581753133
2	geo_matched_state	with_current_y	4	Influenza	49	0.088700259771904	0.4216146806488305	0.4606685710364092	0.5785132659925796	0.2244897959183673	0.03905389038757867
2	geo_matched_state	with_current_y	4	RSV	49	0.0886994398630065	0.2726635869141705	0.5206340977376578	1.5047180656053636	0.1020408163265306	0.2479705108234873
3	geo_matched_state	early_warning	1	COVID-19	50	0.0852641240068324	0.2052879124945721	0.2621998653379621	0.522923231355121	0.1	0.056911952843389985
3	geo_matched_state	early_warning	1	Influenza	49	0.0832314930295499	0.3592706168776151	0.4018288681768214	0.5652745423304362	0.2448979591836734	0.04255825129920632
3	geo_matched_state	early_warning	1	RSV	49	0.0832314930295499	0.212990397332823	0.3873761322805713	1.488027571709798	0.0816326530612244	0.17438573494774828
3	geo_matched_state	early_warning	2	COVID-19	50	0.0910347577897734	0.233991755913505	0.2977945819698059	0.5267155320741221	0.1	0.06380282605630092
3	geo_matched_state	early_warning	2	Influenza	49	0.088700259771904	0.395886044751883	0.4368668251789198	0.5688168624803548	0.2244897959183673	0.04098078042703679
3	geo_matched_state	early_warning	2	RSV	49	0.0886994398630065	0.251838285706608	0.4665818857118364	1.4924819256361217	0.0816326530612244	0.2147436000052284
3	geo_matched_state	early_warning	3	COVID-19	50	0.0939087123584786	0.2595772535789173	0.3328281939184695	0.5334604695655706	0.1	0.0732509403395522
3	geo_matched_state	early_warning	3	Influenza	49	0.0918705631815001	0.4233933019646637	0.4610487846797717	0.5725471998794264	0.2857142857142857	0.03765548271510799
3	geo_matched_state	early_warning	3	RSV	49	0.0918689782113203	0.2870401921897677	0.5374554092720221	1.497628394706207	0.1020408163265306	0.2504152170822544
3	geo_matched_state	early_warning	4	COVID-19	50	0.0958650579106645	0.282111064780258	0.3646805494924156	0.5394174006178183	0.08	0.08256948471215758
3	geo_matched_state	early_warning	4	Influenza	49	0.0941846174629807	0.4465157018066371	0.4840817208070056	0.5785132659925796	0.2857142857142857	0.037566019000368545
3	geo_matched_state	early_warning	4	RSV	49	0.0941827772364127	0.3206263706203252	0.6026638104064942	1.5047180656053636	0.1020408163265306	0.282037439786169
3	geo_matched_state	with_current_y	1	COVID-19	50	0.0790650775264309	0.1762321077240211	0.2277140596212732	0.522923231355121	0.08	0.051481951897252104
3	geo_matched_state	with_current_y	1	Influenza	49	0.0773151219320331	0.3280936828191021	0.3672760712542735	0.5652745423304362	0.1836734693877551	0.039182388435171356
3	geo_matched_state	with_current_y	1	RSV	49	0.0773151219320331	0.1805220312416879	0.3280057738355272	1.488027571709798	0.0816326530612244	0.1474837425938393
3	geo_matched_state	with_current_y	2	COVID-19	50	0.0852641240068324	0.2069710407624173	0.2665565119202133	0.5267155320741221	0.1	0.059585471157796
3	geo_matched_state	with_current_y	2	Influenza	49	0.0832314930295499	0.3730767691609373	0.4119590776841989	0.5688168624803548	0.2244897959183673	0.03888230852326163
3	geo_matched_state	with_current_y	2	RSV	49	0.0832314930295499	0.2210907412331451	0.414429176260595	1.4924819256361217	0.0816326530612244	0.1933384350274499
3	geo_matched_state	with_current_y	3	COVID-19	50	0.0910347577897734	0.2358255467429907	0.3051363070905891	0.5334604695655706	0.1	0.0693107603475984
3	geo_matched_state	with_current_y	3	Influenza	49	0.088700259771904	0.4083996440516553	0.4453240480859263	0.5725471998794264	0.2857142857142857	0.036924404034271
3	geo_matched_state	with_current_y	3	RSV	49	0.0886994398630065	0.2605509885092374	0.4941528583703001	1.497628394706207	0.0816326530612244	0.23360186986106268
3	geo_matched_state	with_current_y	4	COVID-19	50	0.0939087123584786	0.260959717343256	0.3410342911189599	0.5394174006178183	0.08	0.08007457377570387
3	geo_matched_state	with_current_y	4	Influenza	49	0.0918705631815001	0.4364226081227289	0.4745380682541639	0.5785132659925796	0.2653061224489796	0.03811546013143502
3	geo_matched_state	with_current_y	4	RSV	49	0.0918689782113203	0.2960336024141872	0.5639823717174199	1.5047180656053636	0.1020408163265306	0.26794876930323275
4	geo_matched_state	early_warning	1	COVID-19	50	0.0910347577897734	0.2330866249679149	0.2928876754655675	0.522923231355121	0.12	0.05980105049765258
4	geo_matched_state	early_warning	1	Influenza	49	0.088700259771904	0.3840665294389824	0.4270096239090591	0.5652745423304362	0.2857142857142857	0.042943094470076715
