context	min_strata	min_total_series	n_cells_total	n_cells_robust	baseline_weighted_delta	baseline_weighted_winrate	robust_best_weighted_delta	robust_worst_weighted_delta	robust_best_weighted_winrate	robust_any_cell_fusion_improves_rmse
early_warning	12	200	30	25	0.0777530949952008	0.116554054054054	0.068367996808526	0.1577042557763442	0.216710182767624	0
early_warning	12	300	30	24	0.0777530949952008	0.116554054054054	0.068367996808526	0.1577042557763442	0.216710182767624	0
early_warning	12	400	30	23	0.0777530949952008	0.116554054054054	0.068367996808526	0.1577042557763442	0.2073170731707317	0
with_current_y	12	200	29	23	0.0601068091090163	0.1148648648648648	0.0485620020725133	0.136954189978799	0.2363636363636363	0
with_current_y	12	300	29	22	0.0601068091090163	0.1148648648648648	0.0485620020725133	0.136954189978799	0.2363636363636363	0
with_current_y	12	400	29	20	0.0601068091090163	0.1148648648648648	0.0485620020725133	0.136954189978799	0.2073170731707317	0
