y_delay_weeks	feature_missing_frac	feature_revision_frac	context	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
0	0.0	0.0	early_warning	12.0	592.0	0.07794437540780548	0.07775309499520087	0.11676870748299317	0.11655405405405403
0	0.0	0.3	early_warning	12.0	592.0	0.0684987582580105	0.06836799680852602	0.14210884353741496	0.14189189189189186
0	0.1	0.0	early_warning	12.0	495.0	0.07922337777488944	0.07932872294238043	0.16350732600732595	0.15959595959595957
0	0.1	0.3	early_warning	12.0	492.0	0.07237719941557648	0.0764657354101639	0.21063382386911797	0.2073170731707317
0	0.2	0.0	early_warning	8.0	29.0	0.03238728422580392	0.024202027506458005	0.23333333333333334	0.3448275862068966
0	0.2	0.3	early_warning	4.0	4.0	-0.08282393934757665	-0.08282393934757665	1.0	1.0
1	0.0	0.0	early_warning	12.0	592.0	0.09349302087036666	0.09325915494983313	0.12527210884353737	0.12499999999999996
1	0.0	0.3	early_warning	12.0	592.0	0.08461942740055373	0.08443545409290659	0.1455442176870748	0.14527027027027026
1	0.1	0.0	early_warning	12.0	519.0	0.09894657667358069	0.09901695632198912	0.18217030671917886	0.17533718689788053
1	0.1	0.3	early_warning	12.0	538.0	0.0960541250920925	0.09691281199966613	0.20616044162555788	0.20446096654275092
1	0.2	0.0	early_warning	11.0	65.0	0.009502672999257611	0.04385935966727806	0.15702479338842973	0.16923076923076924
1	0.2	0.3	early_warning	12.0	34.0	0.48169597835081673	0.6176341582248956	0.20138888888888887	0.2647058823529412
2	0.0	0.0	early_warning	12.0	592.0	0.10466084459067283	0.10439363070353713	0.13884353741496597	0.13851351351351346
2	0.0	0.3	early_warning	12.0	592.0	0.09618851682474518	0.09596736219474941	0.1456802721088435	0.14527027027027026
2	0.1	0.0	early_warning	12.0	566.0	0.11233952303368121	0.1117128722436941	0.20598622674478365	0.20318021201413428
