y_delay_weeks	subset	context	horizon_weeks	pathogen	n_series	mean_rmse_naive_persistence	mean_rmse_ridge_ar	mean_rmse_ridge_fusion	mean_rmse_ridge_ww_only	frac_fusion_better_than_ar	mean_delta_rmse_fusion_minus_ar
0	geo_matched_state	early_warning	1	COVID-19	50	0.1532392179059791	0.1529333256910405	0.1799810515395626	0.522923231355121	0.16	0.02704772584852208
0	geo_matched_state	early_warning	1	Influenza	49	0.146846692429667	0.2510334877615658	0.2751320287442941	0.5652745423304362	0.1632653061224489	0.02409854098272829
0	geo_matched_state	early_warning	1	RSV	49	0.1460147367481675	0.1726793816258995	0.2307383429234307	1.488027571709798	0.1224489795918367	0.058058961297531214
0	geo_matched_state	early_warning	2	COVID-19	50	0.1545005161045065	0.1767789849727968	0.2183013338301964	0.5267155320741221	0.12	0.04152234885739961
0	geo_matched_state	early_warning	2	Influenza	49	0.1486233769713294	0.3170374645214561	0.3459656096725698	0.5688168624803547	0.2040816326530612	0.028928145151113693
0	geo_matched_state	early_warning	2	RSV	49	0.147621487905558	0.209481036224277	0.3103252572225741	1.4924819256361217	0.1020408163265306	0.1008442209982971
0	geo_matched_state	early_warning	3	COVID-19	50	0.1576078183777315	0.2025271270233068	0.2597045031264189	0.5334604695655706	0.1	0.057177376103112104
0	geo_matched_state	early_warning	3	Influenza	49	0.1522091063955963	0.3728376026874184	0.4050163041878877	0.5725471998794264	0.2040816326530612	0.03217870150046931
0	geo_matched_state	early_warning	3	RSV	49	0.1489698086794324	0.2451886875030654	0.3946079817683665	1.497628394706207	0.1428571428571428	0.14941929426530107
0	geo_matched_state	early_warning	4	COVID-19	50	0.1628308155859171	0.2281597105480727	0.2989965146762837	0.5394174006178184	0.06	0.070836804128211
0	geo_matched_state	early_warning	4	Influenza	49	0.153107542479553	0.4128997665626238	0.4504201093172346	0.5785132659925797	0.1836734693877551	0.0375203427546108
0	geo_matched_state	early_warning	4	RSV	49	0.1531462486419346	0.2800860837440289	0.4744387209528586	1.5047180656053636	0.1428571428571428	0.19435263720882973
0	geo_matched_state	with_current_y	1	COVID-19	50	0.1467190731646867	0.1307365976252911	0.1463308034893146	0.522923231355121	0.14	0.015594205864023492
0	geo_matched_state	with_current_y	1	Influenza	49	0.142627653791045	0.1863853938247907	0.1999461772637354	0.5652745423304362	0.1836734693877551	0.013560783438944707
0	geo_matched_state	with_current_y	1	RSV	49	0.1404851043855351	0.1390454420199048	0.1681012409825782	1.488027571709798	0.1836734693877551	0.029055798962673407
0	geo_matched_state	with_current_y	2	COVID-19	50	0.1532392179059791	0.1540333877484566	0.1836617867825954	0.5267155320741221	0.08	0.029628399034138803
0	geo_matched_state	with_current_y	2	Influenza	49	0.146846692429667	0.2592396258714202	0.2809357789668565	0.5688168624803547	0.2040816326530612	0.02169615309543632
