subset	context	geo_level	geo_id	pathogen	horizon_weeks	model_id	threshold_quantile	threshold_value	n_weeks	tp	fp	tn	fn	precision	recall	fdr	fpr	fnr	prevalence
geo_matched_state	early_warning	state	IL	COVID-19	1	ridge_ar	0.75	1.504553282375978	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	IL	COVID-19	1	ridge_fusion	0.75	1.504553282375978	52	0	10	42	0	0.0		1.0	0.19230769230769232		0.0
geo_matched_state	early_warning	state	IN	COVID-19	1	ridge_ar	0.75	1.9704942568850163	52	25	0	2	25	1.0	0.5	0.0	0.0	0.5	0.9615384615384616
geo_matched_state	early_warning	state	IN	COVID-19	1	ridge_fusion	0.75	1.9704942568850163	52	24	0	2	26	1.0	0.48	0.0	0.0	0.52	0.9615384615384616
geo_matched_state	early_warning	state	KS	COVID-19	1	ridge_ar	0.75	4.580623555194987	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KS	COVID-19	1	ridge_fusion	0.75	4.580623555194987	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KY	COVID-19	1	ridge_ar	0.75	2.3595182525275518	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KY	COVID-19	1	ridge_fusion	0.75	2.3595182525275518	52	0	1	51	0	0.0		1.0	0.019230769230769232		0.0
geo_matched_state	early_warning	state	LA	COVID-19	1	ridge_ar	0.75	3.2740953360186693	52	20	2	5	25	0.9090909090909091	0.4444444444444444	0.09090909090909091	0.2857142857142857	0.5555555555555556	0.8653846153846154
geo_matched_state	early_warning	state	LA	COVID-19	1	ridge_fusion	0.75	3.2740953360186693	52	17	2	5	28	0.8947368421052632	0.37777777777777777	0.10526315789473684	0.2857142857142857	0.6222222222222222	0.8653846153846154
geo_matched_state	early_warning	state	MA	COVID-19	1	ridge_ar	0.75	1.1641020457531854	52	10	9	20	13	0.5263157894736842	0.43478260869565216	0.47368421052631576	0.3103448275862069	0.5652173913043478	0.4423076923076923
geo_matched_state	early_warning	state	MA	COVID-19	1	ridge_fusion	0.75	1.1641020457531854	52	15	11	18	8	0.5769230769230769	0.6521739130434783	0.4230769230769231	0.3793103448275862	0.34782608695652173	0.4423076923076923
geo_matched_state	early_warning	state	MD	COVID-19	1	ridge_ar	0.75	0.7895570923093755	52	0	2	48	2	0.0	0.0	1.0	0.04	1.0	0.038461538461538464
geo_matched_state	early_warning	state	MD	COVID-19	1	ridge_fusion	0.75	0.7895570923093755	52	0	0	50	2		0.0		0.0	1.0	0.038461538461538464
geo_matched_state	early_warning	state	ME	COVID-19	1	ridge_ar	0.75	2.377835118030691	52	25	4	12	11	0.8620689655172413	0.6944444444444444	0.13793103448275862	0.25	0.3055555555555556	0.6923076923076923
geo_matched_state	early_warning	state	ME	COVID-19	1	ridge_fusion	0.75	2.377835118030691	52	26	5	11	10	0.8387096774193549	0.7222222222222222	0.16129032258064516	0.3125	0.2777777777777778	0.6923076923076923
geo_matched_state	early_warning	state	MI	COVID-19	1	ridge_ar	0.75	1.5181943687690154	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MI	COVID-19	1	ridge_fusion	0.75	1.5181943687690154	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MN	COVID-19	1	ridge_ar	0.75	2.2301807927421557	52	21	1	5	25	0.9545454545454546	0.45652173913043476	0.045454545454545456	0.16666666666666666	0.5434782608695652	0.8846153846153846
geo_matched_state	early_warning	state	MN	COVID-19	1	ridge_fusion	0.75	2.2301807927421557	52	19	1	5	27	0.95	0.41304347826086957	0.05	0.16666666666666666	0.5869565217391305	0.8846153846153846
geo_matched_state	early_warning	state	MO	COVID-19	1	ridge_ar	0.75	1.9178547676012232	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MO	COVID-19	1	ridge_fusion	0.75	1.9178547676012232	52	0	14	38	0	0.0		1.0	0.2692307692307692		0.0
geo_matched_state	early_warning	state	MS	COVID-19	1	ridge_ar	0.75	3.495341863098658	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MS	COVID-19	1	ridge_fusion	0.75	3.495341863098658	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MT	COVID-19	1	ridge_ar	0.75	5.640738668158926	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	MT	COVID-19	1	ridge_fusion	0.75	5.640738668158926	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	NC	COVID-19	1	ridge_ar	0.75	1.1462755735944332	52	28	0	2	22	1.0	0.56	0.0	0.0	0.44	0.9615384615384616
geo_matched_state	early_warning	state	NC	COVID-19	1	ridge_fusion	0.75	1.1462755735944332	52	26	0	2	24	1.0	0.52	0.0	0.0	0.48	0.9615384615384616
geo_matched_state	early_warning	state	NE	COVID-19	1	ridge_ar	0.75	4.801115071609895	52	10	7	33	2	0.5882352941176471	0.8333333333333334	0.4117647058823529	0.175	0.16666666666666666	0.23076923076923078
geo_matched_state	early_warning	state	NE	COVID-19	1	ridge_fusion	0.75	4.801115071609895	52	9	6	34	3	0.6	0.75	0.4	0.15	0.25	0.23076923076923078
geo_matched_state	early_warning	state	NH	COVID-19	1	ridge_ar	0.75	1.863975659345544	52	0	5	22	25	0.0	0.0	1.0	0.18518518518518517	1.0	0.4807692307692308
geo_matched_state	early_warning	state	NH	COVID-19	1	ridge_fusion	0.75	1.863975659345544	52	3	8	19	22	0.2727272727272727	0.12	0.7272727272727273	0.2962962962962963	0.88	0.4807692307692308
geo_matched_state	early_warning	state	NJ	COVID-19	1	ridge_ar	0.75	0.8989909789465945	52	0	10	40	2	0.0	0.0	1.0	0.2	1.0	0.038461538461538464
geo_matched_state	early_warning	state	NJ	COVID-19	1	ridge_fusion	0.75	0.8989909789465945	52	0	8	42	2	0.0	0.0	1.0	0.16	1.0	0.038461538461538464
geo_matched_state	early_warning	state	NM	COVID-19	1	ridge_ar	0.75	2.1223952314967227	52	3	5	38	6	0.375	0.3333333333333333	0.625	0.11627906976744186	0.6666666666666666	0.17307692307692307
geo_matched_state	early_warning	state	NM	COVID-19	1	ridge_fusion	0.75	2.1223952314967227	52	2	5	38	7	0.2857142857142857	0.2222222222222222	0.7142857142857143	0.11627906976744186	0.7777777777777778	0.17307692307692307
geo_matched_state	early_warning	state	NV	COVID-19	1	ridge_ar	0.75	1.499397728828504	52	18	3	25	6	0.8571428571428571	0.75	0.14285714285714285	0.10714285714285714	0.25	0.46153846153846156
geo_matched_state	early_warning	state	NV	COVID-19	1	ridge_fusion	0.75	1.499397728828504	52	13	0	28	11	1.0	0.5416666666666666	0.0	0.0	0.4583333333333333	0.46153846153846156
geo_matched_state	early_warning	state	NY	COVID-19	1	ridge_ar	0.75	0.9973622287640675	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	NY	COVID-19	1	ridge_fusion	0.75	0.9973622287640675	52	0	1	51	0	0.0		1.0	0.019230769230769232		0.0
geo_matched_state	early_warning	state	OH	COVID-19	1	ridge_ar	0.75	1.7273068500502062	52	0	9	39	4	0.0	0.0	1.0	0.1875	1.0	0.07692307692307693
geo_matched_state	early_warning	state	OH	COVID-19	1	ridge_fusion	0.75	1.7273068500502062	52	0	12	36	4	0.0	0.0	1.0	0.25	1.0	0.07692307692307693
geo_matched_state	early_warning	state	OK	COVID-19	1	ridge_ar	0.75	3.226900234670114	52	0	1	51	0	0.0		1.0	0.019230769230769232		0.0
geo_matched_state	early_warning	state	OK	COVID-19	1	ridge_fusion	0.75	3.226900234670114	52	0	7	45	0	0.0		1.0	0.1346153846153846		0.0
geo_matched_state	early_warning	state	OR	COVID-19	1	ridge_ar	0.75	1.4338457647369374	52	2	5	40	5	0.2857142857142857	0.2857142857142857	0.7142857142857143	0.1111111111111111	0.7142857142857143	0.1346153846153846
geo_matched_state	early_warning	state	OR	COVID-19	1	ridge_fusion	0.75	1.4338457647369374	52	2	4	41	5	0.3333333333333333	0.2857142857142857	0.6666666666666666	0.08888888888888889	0.7142857142857143	0.1346153846153846
geo_matched_state	early_warning	state	PA	COVID-19	1	ridge_ar	0.75	1.5977092536324264	52	0	0	52	0				0.0		0.0
