commit_sha	commit_time_iso	week_end	metric	value
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-13	Respiratory illness visits	6.99
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-13	Respiratory illness hospitalizations	7.12
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-20	Respiratory illness visits	8.2
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-20	Respiratory illness hospitalizations	6.83
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-27	Respiratory illness visits	8.31
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-09-27	Respiratory illness hospitalizations	7.29
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-04	Respiratory illness visits	7.99
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-04	Respiratory illness hospitalizations	7.33
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-11	Respiratory illness visits	7.7
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-11	Respiratory illness hospitalizations	7.76
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-18	Respiratory illness visits	7.93
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-25	Respiratory illness visits	8.23
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-01	Respiratory illness visits	8.48
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-08	Respiratory illness visits	9.4
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-15	Respiratory illness visits	9.61
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-22	Respiratory illness visits	11.42
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-22	Respiratory illness hospitalizations	8.68
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-29	Respiratory illness visits	14.75
b69a4f8330649f28a966b10fba4916c18d78c0a4	2025-12-04T12:04:52-05:00	2025-11-29	Respiratory illness hospitalizations	10.11
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-09-20	Respiratory illness visits	8.2
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-09-20	Respiratory illness hospitalizations	6.83
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-09-27	Respiratory illness visits	8.31
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-09-27	Respiratory illness hospitalizations	7.29
