commit_sha	commit_time_iso	week_end	metric	value
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-04	Respiratory illness visits	7.99
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-04	Respiratory illness hospitalizations	7.33
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-11	Respiratory illness visits	7.7
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-11	Respiratory illness hospitalizations	7.76
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-18	Respiratory illness visits	7.93
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-25	Respiratory illness visits	8.23
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-01	Respiratory illness visits	8.48
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-08	Respiratory illness visits	9.4
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-15	Respiratory illness visits	9.61
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-22	Respiratory illness visits	11.43
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-29	Respiratory illness visits	14.9
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-11-29	Respiratory illness hospitalizations	10.1
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-12-06	Respiratory illness visits	16.29
73a9c056bc5530194388bc505ff88670ac7ed91b	2025-12-11T11:21:25-05:00	2025-12-06	Respiratory illness hospitalizations	10.78
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-09-27	Respiratory illness visits	8.31
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-09-27	Respiratory illness hospitalizations	7.29
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-04	Respiratory illness visits	7.99
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-04	Respiratory illness hospitalizations	7.33
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-11	Respiratory illness visits	7.7
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-11	Respiratory illness hospitalizations	7.76
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-18	Respiratory illness visits	7.93
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-25	Respiratory illness visits	8.23
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-01	Respiratory illness visits	8.48
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-08	Respiratory illness visits	9.4
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-15	Respiratory illness visits	9.61
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-22	Respiratory illness visits	11.43
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-29	Respiratory illness visits	14.91
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-12-06	Respiratory illness visits	16.44
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-12-06	Respiratory illness hospitalizations	10.91
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-12-13	Respiratory illness visits	20.46
dc3c7b8c5375fca9c88fc68cecd07d083ea20e88	2025-12-18T12:41:48-05:00	2025-12-13	Respiratory illness hospitalizations	11.82
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-04	Respiratory illness visits	7.99
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-04	Respiratory illness hospitalizations	7.33
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-11	Respiratory illness visits	7.7
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-11	Respiratory illness hospitalizations	7.76
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-18	Respiratory illness visits	7.93
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-25	Respiratory illness visits	8.23
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-01	Respiratory illness visits	8.48
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-08	Respiratory illness visits	9.4
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-15	Respiratory illness visits	9.61
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-22	Respiratory illness visits	11.43
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-29	Respiratory illness visits	14.91
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-06	Respiratory illness visits	16.46
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-13	Respiratory illness visits	20.61
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-13	Respiratory illness hospitalizations	12.05
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-20	Respiratory illness visits	23.52
6d124b4f7feeccc9dcc797fdc3a704d98da434b8	2025-12-26T08:42:53-05:00	2025-12-20	Respiratory illness hospitalizations	14.49
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-11	Respiratory illness visits	7.7
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-11	Respiratory illness hospitalizations	7.76
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-18	Respiratory illness visits	7.93
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-25	Respiratory illness visits	8.23
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-01	Respiratory illness visits	8.48
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-08	Respiratory illness visits	9.4
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-15	Respiratory illness visits	9.61
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-22	Respiratory illness visits	11.43
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-29	Respiratory illness visits	14.91
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-06	Respiratory illness visits	16.46
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-13	Respiratory illness visits	20.62
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-13	Respiratory illness hospitalizations	11.96
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-20	Respiratory illness visits	23.75
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-20	Respiratory illness hospitalizations	14.64
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-27	Respiratory illness visits	22.22
c5cf1b4b18d0e00874c09b2ad0125acfb568bf8c	2026-01-02T09:46:53-05:00	2025-12-27	Respiratory illness hospitalizations	14.66
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-10-18	Respiratory illness visits	7.93
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-10-18	Respiratory illness hospitalizations	7.78
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-10-25	Respiratory illness visits	8.23
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-01	Respiratory illness visits	8.48
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-08	Respiratory illness visits	9.4
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-15	Respiratory illness visits	9.61
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-22	Respiratory illness visits	11.43
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-29	Respiratory illness visits	14.91
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-06	Respiratory illness visits	16.46
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-13	Respiratory illness visits	20.62
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-13	Respiratory illness hospitalizations	11.96
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-20	Respiratory illness visits	23.75
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-20	Respiratory illness hospitalizations	14.6
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-27	Respiratory illness visits	22.41
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2025-12-27	Respiratory illness hospitalizations	14.74
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2026-01-03	Respiratory illness visits	17.22
58f3c8dcaf0fd844abe65f377634a7759344de95	2026-01-08T15:10:04-05:00	2026-01-03	Respiratory illness hospitalizations	13.76
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-10-25	Respiratory illness visits	8.23
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-10-25	Respiratory illness hospitalizations	7.51
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-01	Respiratory illness visits	8.48
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-08	Respiratory illness visits	9.4
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-15	Respiratory illness visits	9.61
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-22	Respiratory illness visits	11.43
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-29	Respiratory illness visits	14.91
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-06	Respiratory illness visits	16.46
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-13	Respiratory illness visits	20.62
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-13	Respiratory illness hospitalizations	11.96
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-20	Respiratory illness visits	23.75
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-20	Respiratory illness hospitalizations	14.6
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-27	Respiratory illness visits	22.42
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2025-12-27	Respiratory illness hospitalizations	14.76
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2026-01-03	Respiratory illness visits	17.4
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2026-01-03	Respiratory illness hospitalizations	14.12
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2026-01-10	Respiratory illness visits	13.07
5626bdaaf41c08939ffd53f898b1685fb113cf34	2026-01-15T14:03:17-05:00	2026-01-10	Respiratory illness hospitalizations	11.83
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-01	Respiratory illness visits	8.48
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-01	Respiratory illness hospitalizations	7.72
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-08	Respiratory illness visits	9.4
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-15	Respiratory illness visits	9.61
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-22	Respiratory illness visits	11.43
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-29	Respiratory illness visits	14.91
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-06	Respiratory illness visits	16.46
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-13	Respiratory illness visits	20.62
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-13	Respiratory illness hospitalizations	11.96
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-20	Respiratory illness visits	23.75
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-20	Respiratory illness hospitalizations	14.6
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-27	Respiratory illness visits	22.42
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2025-12-27	Respiratory illness hospitalizations	14.76
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-03	Respiratory illness visits	17.41
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-03	Respiratory illness hospitalizations	14.14
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-10	Respiratory illness visits	13.15
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-10	Respiratory illness hospitalizations	12.05
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-17	Respiratory illness visits	10.46
5f3373aca6b59e7547f6ee526b0a0e9439dfe7fc	2026-01-22T14:05:08-05:00	2026-01-17	Respiratory illness hospitalizations	9.65
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-08	Respiratory illness visits	9.4
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-08	Respiratory illness hospitalizations	8.13
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-15	Respiratory illness visits	9.61
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-15	Respiratory illness hospitalizations	8.5
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-22	Respiratory illness visits	11.43
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-22	Respiratory illness hospitalizations	8.67
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-29	Respiratory illness visits	14.91
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-11-29	Respiratory illness hospitalizations	10.14
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-12-06	Respiratory illness visits	16.46
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-12-06	Respiratory illness hospitalizations	10.98
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-12-13	Respiratory illness visits	20.62
eec634657d39ca82a61477bb0781c8612d3ca2af	2026-01-29T13:54:59-05:00	2025-12-13	Respiratory illness hospitalizations	11.96
