context	svi_tertile	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
early_warning	high	0	0.0	0.0	12	204	0.08011250796257675	0.08011250796257675	0.14215686274509803	0.14215686274509803
early_warning	high	0	0.0	0.3	12	204	0.07085008307100037	0.07085008307100037	0.14705882352941177	0.14705882352941177
early_warning	high	0	0.1	0.0	12	156	0.08091731770354509	0.08047640226087893	0.1380997474747475	0.1282051282051282
early_warning	high	0	0.1	0.3	12	160	0.056989212915923716	0.06097834014646748	0.25007284382284384	0.25
early_warning	high	1	0.0	0.0	12	204	0.0925300355740159	0.09253003557401589	0.14705882352941177	0.14705882352941177
early_warning	high	1	0.0	0.3	12	204	0.08337890906134116	0.08337890906134116	0.17156862745098037	0.1715686274509804
early_warning	high	1	0.1	0.0	12	168	0.09236505703686838	0.0904569861351963	0.1943815987933635	0.17857142857142858
early_warning	high	1	0.1	0.3	12	182	0.06794077096325869	0.06703937030455466	0.23263888888888892	0.23626373626373626
early_warning	high	2	0.0	0.0	12	204	0.10054909104953187	0.10054909104953187	0.16666666666666666	0.16666666666666666
early_warning	high	2	0.0	0.3	12	204	0.09159898821743735	0.09159898821743735	0.17647058823529407	0.17647058823529413
early_warning	high	2	0.1	0.0	12	193	0.08527233861934812	0.0855291335767734	0.24276960784313725	0.23834196891191708
early_warning	high	2	0.1	0.3	12	184	0.08318618221839721	0.0805419541531637	0.22321428571428573	0.22826086956521738
early_warning	high	3	0.0	0.0	12	204	0.10320014037364002	0.10320014037364002	0.18137254901960784	0.18137254901960784
early_warning	high	3	0.0	0.3	12	204	0.09472060045486191	0.09472060045486191	0.18137254901960784	0.18137254901960784
early_warning	high	3	0.1	0.0	12	200	0.08911799202463348	0.09046120042949475	0.24417892156862744	0.24
early_warning	high	3	0.1	0.3	12	196	0.09442139966544096	0.09424552582368582	0.20496323529411767	0.20408163265306123
early_warning	high	3	0.2	0.0	12	126	0.14197907657734313	0.13699974524572073	0.1373677248677249	0.15079365079365079
early_warning	high	3	0.2	0.3	12	120	0.1148382386146976	0.12406645988989572	0.22474747474747472	0.20833333333333334
early_warning	high	4	0.0	0.0	12	204	0.1003047770435827	0.1003047770435827	0.2156862745098039	0.21568627450980393
early_warning	high	4	0.0	0.3	12	204	0.09346687271520143	0.09346687271520143	0.20098039215686272	0.20098039215686275
early_warning	high	4	0.1	0.0	12	204	0.09111373801877636	0.09111373801877634	0.22549019607843135	0.22549019607843138
early_warning	high	4	0.1	0.3	12	204	0.09439540206867038	0.09439540206867036	0.2058823529411765	0.20588235294117646
early_warning	high	4	0.2	0.0	12	160	0.16115423885343708	0.14933204862227417	0.15734551396316102	0.16875
early_warning	high	4	0.2	0.3	12	183	0.11993489817356266	0.12987907881658317	0.15259209744503863	0.14207650273224043
early_warning	low	0	0.0	0.0	12	184	0.10276168471893571	0.10222262175686829	0.048611111111111105	0.04891304347826087
early_warning	low	0	0.0	0.3	12	184	0.09036249898446762	0.09017330559469895	0.05937499999999999	0.059782608695652176
early_warning	low	0	0.1	0.0	12	155	0.11986277413048385	0.11855507895847361	0.15187208624708626	0.14838709677419354
early_warning	low	0	0.1	0.3	12	154	0.05591705064979902	0.06421734653677803	0.2900106837606838	0.2792207792207792
early_warning	low	1	0.0	0.0	12	184	0.12901951471282272	0.128233962484057	0.05416666666666666	0.05434782608695652
early_warning	low	1	0.0	0.3	12	184	0.11741960047796039	0.11694507739785044	0.08090277777777777	0.08152173913043478
