subset	context	pathogen	horizon_weeks	comparison	n_states	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ar	51.0	0.02438168210964662	0.0168880071140028	0.11764705882352941	0.01808151717804123	0.0142835944410859	0.0042364985846803215	0.0030874866377426
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ww_only	51.0	-0.325633427968747	-0.2474388267947977	0.9607843137254902	-0.27630372483933674	-0.210714237606687	-0.06444074234729914	-0.0516425590548744
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ar	51.0	0.03471178347579726	0.023518724483656	0.11764705882352941	0.025339855223426248	0.0215513015076436	0.0059895907151140395	0.0045010099891273
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ww_only	51.0	-0.28442487306657543	-0.1941893174832106	0.9411764705882353	-0.2429644686695503	-0.1821012052655887	-0.05674571137634696	-0.0428769807769067
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ar	51.0	0.045148972798952205	0.030957050075702	0.058823529411764705	0.0321814894162565	0.0218264442641216	0.007690119238970636	0.0054053695190601
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ww_only	51.0	-0.2470112105812596	-0.162715022159087	0.9215686274509803	-0.2132744293513965	-0.1547194550207369	-0.049764509488756936	-0.0360319878360711
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ar	51.0	0.05560602966988878	0.0410009509800295	0.09803921568627451	0.039296874274793434	0.0272854578065787	0.009479997092192398	0.0056998663417731
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ww_only	51.0	-0.21567721619947955	-0.1369025506275208	0.9215686274509803	-0.18761723188948007	-0.1191075366793296	-0.043766352729160476	-0.030876566603687
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ar	49.0	0.028543385592064513	0.0181839172556005	0.10204081632653061	0.021430223312965634	0.0137279577153817	0.005011244326145778	0.0033085392070676
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ww_only	49.0	-0.3324659503993608	-0.2434332822331764	0.9795918367346939	-0.2657458870975717	-0.1935675318128977	-0.061405210400786586	-0.0411738834789615
geo_matched_state	early_warning	Influenza	2	ridge_fusion_minus_ridge_ar	49.0	0.03691217095675727	0.0177005484423824	0.1836734693877551	0.028608585794101252	0.0159915944266068	0.006602349075889543	0.0037780540910222
geo_matched_state	early_warning	Influenza	2	ridge_fusion_minus_ridge_ww_only	49.0	-0.2695351048461534	-0.1884995085637647	0.8367346938775511	-0.21455108958096292	-0.1535750377775744	-0.04927692136693262	-0.0328136502996656
geo_matched_state	early_warning	Influenza	3	ridge_fusion_minus_ridge_ar	49.0	0.043052147879102	0.0233096683707278	0.22448979591836735	0.03348679086969739	0.0165360425294208	0.0076334106788443394	0.0041568697037097
geo_matched_state	early_warning	Influenza	3	ridge_fusion_minus_ridge_ww_only	49.0	-0.21507238561885667	-0.1514935875363547	0.7959183673469388	-0.1725054277662583	-0.1217244783921832	-0.0392839029748102	-0.0259787816721173
geo_matched_state	early_warning	Influenza	4	ridge_fusion_minus_ridge_ar	49.0	0.04980137372595452	0.0274176366771252	0.20408163265306123	0.03995027750494314	0.0184555994275696	0.009022490858183919	0.0052384363526502
geo_matched_state	early_warning	Influenza	4	ridge_fusion_minus_ridge_ww_only	49.0	-0.17478042296171295	-0.1259522485535456	0.7755102040816326	-0.14206957934508185	-0.0999066721039258	-0.03229987213318298	-0.0219151228979989
geo_matched_state	early_warning	RSV	1	ridge_fusion_minus_ridge_ar	49.0	0.09990732120115517	0.0616085197227184	0.14285714285714285	0.07781438717940231	0.0488874366329469	0.019517447485922417	0.0100908954091842
geo_matched_state	early_warning	RSV	1	ridge_fusion_minus_ridge_ww_only	49.0	-2.4641386257664757	-2.4947357202494578	1.0	-2.324548420487743	-2.319901633382087	-0.537285985601023	-0.5807030382578082
geo_matched_state	early_warning	RSV	2	ridge_fusion_minus_ridge_ar	49.0	0.1319841431242265	0.0696869438316958	0.12244897959183673	0.10287399682649377	0.0596128875012502	0.02537652828219264	0.0123535205962971
geo_matched_state	early_warning	RSV	2	ridge_fusion_minus_ridge_ww_only	49.0	-2.3517309014786174	-2.4418837094187382	1.0	-2.214980655684317	-2.2151307700557914	-0.5110607817324476	-0.5502751375841162
geo_matched_state	early_warning	RSV	3	ridge_fusion_minus_ridge_ar	49.0	0.16226873864689187	0.0927103442881238	0.20408163265306123	0.1273296778101769	0.0724317064001823	0.03128243172926902	0.0175427721496587
geo_matched_state	early_warning	RSV	3	ridge_fusion_minus_ridge_ww_only	49.0	-2.238350085687234	-2.3490118882752045	1.0	-2.1026918291042924	-2.1355955640935766	-0.4836754414882612	-0.5173223971905254
geo_matched_state	early_warning	RSV	4	ridge_fusion_minus_ridge_ar	49.0	0.1969442272460622	0.101405390725768	0.1836734693877551	0.15557607501356593	0.1093610132309365	0.03755533793827976	0.0229256211614104
geo_matched_state	early_warning	RSV	4	ridge_fusion_minus_ridge_ww_only	49.0	-2.1222328349294206	-2.194700280152535	0.9795918367346939	-1.987078003973074	-2.038383858104191	-0.4563236122702864	-0.4940704017822942
geo_matched_state	with_current_y	COVID-19	1	ridge_fusion_minus_ridge_ar	51.0	0.015336544486332518	0.0101396629598208	0.0392156862745098	0.01192066765025081	0.0081818541171547	0.0028084145483916246	0.0018874492717322
geo_matched_state	with_current_y	COVID-19	1	ridge_fusion_minus_ridge_ww_only	51.0	-0.3708175698960248	-0.28372414526347	0.9803921568627451	-0.31427689326230723	-0.2419537830255182	-0.07330150889807834	-0.0560379608352752
geo_matched_state	with_current_y	COVID-19	2	ridge_fusion_minus_ridge_ar	51.0	0.026852299999978305	0.0196839109119622	0.09803921568627451	0.019949256540265182	0.0146847490718797	0.0047061987568064985	0.0033931858600924
geo_matched_state	with_current_y	COVID-19	2	ridge_fusion_minus_ridge_ww_only	51.0	-0.3265993671137841	-0.244531998297767	0.9607843137254902	-0.2780975500446733	-0.210523924197768	-0.06493765746915421	-0.051755878475142
geo_matched_state	with_current_y	COVID-19	3	ridge_fusion_minus_ridge_ar	51.0	0.03991429226809393	0.0282693876602118	0.0784313725490196	0.02892454388147304	0.0221378129516041	0.006898097288823861	0.0048471481041495
geo_matched_state	with_current_y	COVID-19	3	ridge_fusion_minus_ridge_ww_only	51.0	-0.28548428480114313	-0.1969164904767316	0.9411764705882353	-0.24508377766243078	-0.1805872509960727	-0.0572854792578946	-0.0430586697906403
geo_matched_state	with_current_y	COVID-19	4	ridge_fusion_minus_ridge_ar	51.0	0.052730640271921744	0.0355825581257632	0.0784313725490196	0.03784619105633947	0.0252418359161006	0.009111237629899138	0.005904340957161
geo_matched_state	with_current_y	COVID-19	4	ridge_fusion_minus_ridge_ww_only	51.0	-0.24691997287257164	-0.1650286730564907	0.9215686274509803	-0.213356651674287	-0.1486321996232415	-0.04980673217755519	-0.0352753016014951
geo_matched_state	with_current_y	Influenza	1	ridge_fusion_minus_ridge_ar	49.0	0.016937624667012128	0.0098059908005172	0.08163265306122448	0.01315253977091573	0.0071468129560883	0.0030701673531066493	0.0020466164363851
geo_matched_state	with_current_y	Influenza	1	ridge_fusion_minus_ridge_ww_only	49.0	-0.4047395612497587	-0.32094231518256	0.9795918367346939	-0.325209833694226	-0.2471930999855987	-0.07557405914517429	-0.0571030178126178
geo_matched_state	with_current_y	Influenza	2	ridge_fusion_minus_ridge_ar	49.0	0.02827652622563175	0.0167704960544866	0.16326530612244897	0.02244334644550319	0.0142010515664653	0.005186104013254097	0.0031582669041142
geo_matched_state	with_current_y	Influenza	2	ridge_fusion_minus_ridge_ww_only	49.0	-0.33170284406287875	-0.2407540219021465	0.9795918367346939	-0.26587206098248267	-0.1919469895321758	-0.06146806575946326	-0.0421841559175347
geo_matched_state	with_current_y	Influenza	3	ridge_fusion_minus_ridge_ar	49.0	0.03665481310924679	0.0193039400555726	0.22448979591836735	0.029369441880217208	0.0142063180809666	0.00671649052042898	0.0040841297108077
geo_matched_state	with_current_y	Influenza	3	ridge_fusion_minus_ridge_ww_only	49.0	-0.26600364417063915	-0.1846425287273869	0.8367346938775511	-0.21411627119672383	-0.1530738265552918	-0.0491036376049187	-0.0321219119422221
geo_matched_state	with_current_y	Influenza	4	ridge_fusion_minus_ridge_ar	49.0	0.045471170478751	0.019763811782965	0.1836734693877551	0.037035176891128355	0.0159820126306863	0.008406095412373039	0.0049635531860546
geo_matched_state	with_current_y	Influenza	4	ridge_fusion_minus_ridge_ww_only	49.0	-0.209396531264534	-0.1482821326853607	0.7755102040816326	-0.17058344009638918	-0.118898416711876	-0.03882198129875659	-0.0267389351797137
geo_matched_state	with_current_y	RSV	1	ridge_fusion_minus_ridge_ar	49.0	0.06337649680250802	0.0361984212395292	0.10204081632653061	0.049327567679328096	0.0279482822480138	0.01257400150497344	0.0062596984710494
geo_matched_state	with_current_y	RSV	1	ridge_fusion_minus_ridge_ww_only	49.0	-2.5847074703068778	-2.628248948719375	1.0	-2.426327818655611	-2.3815945034458768	-0.5618128039221821	-0.5971274307176435
geo_matched_state	with_current_y	RSV	2	ridge_fusion_minus_ridge_ar	49.0	0.09849633466040948	0.0589417224774529	0.14285714285714285	0.0765882695151805	0.0465801001727099	0.019239730362814296	0.0111915838719371
geo_matched_state	with_current_y	RSV	2	ridge_fusion_minus_ridge_ww_only	49.0	-2.467847894033008	-2.5311083275595125	1.0	-2.3132105055078687	-2.302459011561394	-0.5343395610459339	-0.5684616669037216
geo_matched_state	with_current_y	RSV	3	ridge_fusion_minus_ridge_ar	49.0	0.1314371640377438	0.0775128876419113	0.14285714285714285	0.10312186587115728	0.0558116211136561	0.025318183306528783	0.014187244766244
geo_matched_state	with_current_y	RSV	3	ridge_fusion_minus_ridge_ww_only	49.0	-2.354093913530154	-2.4415344523288343	1.0	-2.2008310825217885	-2.2087656527216986	-0.5074294950920855	-0.5375030734782725
geo_matched_state	with_current_y	RSV	4	ridge_fusion_minus_ridge_ar	49.0	0.17128241241995465	0.1001939995520222	0.12244897959183673	0.13600459553990193	0.0913173613805426	0.03276040361799641	0.0220900638552501
geo_matched_state	with_current_y	RSV	4	ridge_fusion_minus_ridge_ww_only	49.0	-2.229925759884617	-2.344630358459344	1.0	-2.0781284635367103	-2.1366281883494747	-0.47821153820626494	-0.5169559851486281
