subset	context	pathogen	horizon_weeks	comparison	n_states	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ar	50.0	0.009936853130568312	0.0059242829580275	0.12	0.007403396164405785	0.00528930239803075	0.007189821198802312	0.00489106179154695
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ww_only	50.0	-0.15300432436907052	-0.1338185758270949	0.98	-0.1311869839650476	-0.1172668570586491	-0.12393666562893699	-0.1093364855807423
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ar	50.0	0.01441876862957173	0.0098189211197958	0.14	0.010035629189772344	0.00718600320647315	0.009876878571946569	0.0075568409698612005
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ww_only	50.0	-0.13547977343584022	-0.1198919508830932	0.98	-0.11724613836131884	-0.10284842471068956	-0.11047412696828429	-0.09710622410542305
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ar	50.0	0.01980297336328861	0.01429812604237055	0.08	0.013517924407298163	0.009855752559280551	0.012853861589557211	0.0104760395684751
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ww_only	50.0	-0.11831829670723526	-0.09932939900603224	0.96	-0.10345895901309018	-0.0880562927008392	-0.0975381503751116	-0.08493505255218095
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ar	50.0	0.024800499727833766	0.01929746458694625	0.06	0.016575978967743467	0.01317267117564405	0.015654008737607892	0.01122287319636645
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ww_only	50.0	-0.10364891137300365	-0.08650595447697575	0.96	-0.09169871843009827	-0.08014360252429525	-0.08613840204715321	-0.0737125144826329
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ar	49.0	0.01082164142288414	0.0076412967552367	0.08163265306122448	0.008333492893266322	0.0059431412232465	0.00845961764778514	0.0054951297986804
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ww_only	49.0	-0.1494207373668756	-0.1191953306437135	1.0	-0.12036783427684508	-0.0983452760259432	-0.11247050109038782	-0.1111096512723981
