subset	context	pathogen	horizon_weeks	comparison	n_states	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ar	51.0	0.9952536231746812	0.5604755598441331	0.11764705882352941	0.6949762678670544	0.3289530434666918	0.007628342718914904	0.0042367901654487
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ww_only	51.0	-18.31928636391399	-14.929157384472052	0.9607843137254902	-15.82804372602575	-12.962906726084093	-0.1479389815832406	-0.1403609116715286
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ar	51.0	1.4547245964524245	0.8248208780833037	0.11764705882352941	0.9060282784756957	0.5766997870673141	0.010469505390274754	0.006167718859082
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ww_only	51.0	-16.311694478433996	-12.92958031235619	0.9607843137254902	-14.230278894061627	-11.79111903622584	-0.13276561963616976	-0.1270318889435269
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ar	51.0	1.9436221592077292	1.204107080465345	0.0784313725490196	1.1562220610928273	0.8798058135675304	0.013743291434770178	0.0076327012485129
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ww_only	51.0	-14.398253344061937	-10.93819117516918	0.9411764705882353	-12.683210490597546	-10.477190269613594	-0.11794236267532927	-0.1121960365615945
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ar	51.0	2.4066625974997056	1.3961115835362108	0.058823529411764705	1.3984676507104599	1.158714287139622	0.01673771750636985	0.0107741373660258
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ww_only	51.0	-12.67406136104719	-9.856862088102591	0.9411764705882353	-11.29104955120082	-8.81446971168327	-0.10443742679497423	-0.0960287208049695
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ar	49.0	1.4219448210430623	0.5581400514568102	0.061224489795918366	1.1069882055810762	0.3442708590148218	0.009889912201701967	0.0082369210692738
geo_matched_state	early_warning	Influenza	1	ridge_fusion_minus_ridge_ww_only	49.0	-17.945117896994468	-11.616758039437045	1.0	-14.600768407081379	-9.891768908647045	-0.1350704703668307	-0.1363175627877641
geo_matched_state	early_warning	Influenza	2	ridge_fusion_minus_ridge_ar	49.0	1.8984224411198776	0.6137777265843591	0.16326530612244897	1.494900780873897	0.4384010160273144	0.013038338374002206	0.01001179077804
geo_matched_state	early_warning	Influenza	2	ridge_fusion_minus_ridge_ww_only	49.0	-14.651673036614344	-8.401838883365013	0.8979591836734694	-11.899101540625027	-7.120608331520753	-0.10752964991328985	-0.1079973316011436
geo_matched_state	early_warning	Influenza	3	ridge_fusion_minus_ridge_ar	49.0	2.364801162933833	0.5694523773147859	0.20408163265306123	1.8634134011458563	0.4987210776383677	0.015383341465537409	0.0105598223108841
geo_matched_state	early_warning	Influenza	3	ridge_fusion_minus_ridge_ww_only	49.0	-11.675083959617732	-6.766295334438634	0.7959183673469388	-9.558320020498792	-5.912092712459103	-0.08423872568206651	-0.0883648178340835
geo_matched_state	early_warning	Influenza	4	ridge_fusion_minus_ridge_ar	49.0	2.8161310057483564	0.5497222568762048	0.20408163265306123	2.236153219199791	0.4920034718180992	0.01765556437912981	0.010462286818424
geo_matched_state	early_warning	Influenza	4	ridge_fusion_minus_ridge_ww_only	49.0	-9.376002496743757	-5.552169900133503	0.7755102040816326	-7.780371365893134	-4.910147907438349	-0.0677972131816576	-0.0749740834995732
geo_matched_state	early_warning	RSV	1	ridge_fusion_minus_ridge_ar	49.0	3.8959285656183678	1.3021024875752818	0.10204081632653061	3.0300322845883922	1.0704674564842809	0.02606565222463616	0.0200990537868718
geo_matched_state	early_warning	RSV	1	ridge_fusion_minus_ridge_ww_only	49.0	-69.49684614824697	-53.02799309078123	1.0	-66.60269447987959	-47.69957603337554	-0.6259167245515515	-0.6572645145588732
geo_matched_state	early_warning	RSV	2	ridge_fusion_minus_ridge_ar	49.0	5.651146626926515	1.982067499656165	0.10204081632653061	4.2753113432965355	1.870483120893932	0.03679377831331764	0.0265283057803515
geo_matched_state	early_warning	RSV	2	ridge_fusion_minus_ridge_ww_only	49.0	-66.29393591697715	-52.36721662401001	1.0	-63.52384694798427	-48.50086128959632	-0.5969135193778102	-0.6260966387049182
geo_matched_state	early_warning	RSV	3	ridge_fusion_minus_ridge_ar	49.0	7.6054062299879135	2.490051614417083	0.12244897959183673	5.77007367086417	2.5135265814956007	0.04926415867175645	0.0363458218626773
geo_matched_state	early_warning	RSV	3	ridge_fusion_minus_ridge_ww_only	49.0	-62.74744125426577	-50.2013287124296	1.0	-60.07466604466723	-46.91550050061954	-0.5645538089992894	-0.6061714152921409
geo_matched_state	early_warning	RSV	4	ridge_fusion_minus_ridge_ar	49.0	9.652007119870499	3.1030907449174707	0.16326530612244897	7.303331608695013	2.8867054632315803	0.060746740340348646	0.0463234728014585
geo_matched_state	early_warning	RSV	4	ridge_fusion_minus_ridge_ww_only	49.0	-58.94781333419594	-45.97577845502333	0.9795918367346939	-56.352319179843846	-45.278673735959984	-0.5312076174914833	-0.5598366152982668
geo_matched_state	with_current_y	COVID-19	1	ridge_fusion_minus_ridge_ar	51.0	0.5540278123411229	0.3489104389261617	0.0392156862745098	0.42327809651810294	0.2537571932128379	0.004629935052178932	0.0036405609331952
geo_matched_state	with_current_y	COVID-19	1	ridge_fusion_minus_ridge_ww_only	51.0	-20.545726341563995	-16.893575250501115	0.9803921568627451	-17.726584624480285	-14.730646884332632	-0.16659019609371484	-0.1613998958370226
