subset	context	pathogen	horizon_weeks	comparison	n_counties	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
high_fidelity	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ar	5.0	-1.977313028489726e-05	-0.0001241274626765	0.6	-2.4438339368119997e-05	-0.0001688362744232	0.04033193780273127	-0.0929537755823729
high_fidelity	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ww_only	5.0	-0.00393751916803226	-0.0038291099885921	1.0	-0.0032696525196113197	-0.0033398536054508	-2.131101026956719	-1.537941070122128
high_fidelity	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ar	5.0	-0.00018036638621010155	-0.0002586973149702	0.6	-0.00029083284051938785	-0.0004518600515996	-0.04621544566630109	-0.2341970957910298
high_fidelity	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ww_only	5.0	-0.00288645106695968	-0.002802274034493	1.0	-0.00252557433366888	-0.0025638308217364	-1.6997801781410005	-1.083168122034683
high_fidelity	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ar	5.0	-0.0003194681807205043	-0.0003631960245807	0.8	-0.0005264293101802752	-0.0007273409864749	-0.17791107486732813	-0.2537513780649741
high_fidelity	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ww_only	5.0	-0.0018799066128774202	-0.0019078987876775	1.0	-0.00186728707961212	-0.0019465423720796	-1.2647645996438102	-0.8603395541258363
high_fidelity	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ar	5.0	-0.0004728076774893	-0.0005527651963674	1.0	-0.00075655307903988	-0.0007556822297237	-0.3709759217106122	-0.1654084594992465
high_fidelity	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ww_only	5.0	-0.0010115581153836998	-0.0011584652035459	1.0	-0.00105119382630426	-0.0012776869008379	-0.7570430202428406	-0.6055335050465906
high_fidelity	early_warning	Influenza	1	ridge_fusion_minus_ridge_ar	5.0	0.00433342772874124	-0.0001379275829001	0.6	0.00237544036414048	0.0001430353709082	-2.5842222447408685	-0.2354803703412453
high_fidelity	early_warning	Influenza	1	ridge_fusion_minus_ridge_ww_only	5.0	0.0003987603344502648	6.706721574750718e-05	0.2	-0.00011694202424290681	-0.0001329293414306	-0.21886541401635543	-0.3398190738828125
high_fidelity	early_warning	Influenza	2	ridge_fusion_minus_ridge_ar	5.0	0.0057402065919599	0.0005753155977054	0.4	0.0032243886296438595	0.0005514123783478	-2.755074663314654	-0.2769842052873565
high_fidelity	early_warning	Influenza	2	ridge_fusion_minus_ridge_ww_only	5.0	0.003031273599341101	0.0013373334211623	0.2	0.0014844919862803201	0.0001395891754879	0.5367249138915267	1.0018189392988797
