subset	context	pathogen	horizon_weeks	comparison	n_states	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ar	50.0	0.022110283672039106	0.01305606903253455	0.12	0.016123594964441296	0.0067115425485353	0.0077809095732932	0.0044571221851658
geo_matched_state	early_warning	COVID-19	1	ridge_fusion_minus_ridge_ww_only	50.0	-0.3724907779173206	-0.3058594994043436	0.98	-0.3212702677791162	-0.26196867412897956	-0.1508977612149055	-0.1480534564845139
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ar	50.0	0.032465320268096044	0.0190584865881437	0.12	0.0215845101145771	0.01410448861104425	0.010678895498080251	0.0063945619403998
geo_matched_state	early_warning	COVID-19	2	ridge_fusion_minus_ridge_ww_only	50.0	-0.33295002515450706	-0.27431581527457544	0.98	-0.28974564398385305	-0.23257808105510092	-0.13542093202889313	-0.13112312812842505
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ar	50.0	0.04599539495306719	0.02780741473218935	0.08	0.02990545574419187	0.0182796046937029	0.014018157263465553	0.0092791527683127
geo_matched_state	early_warning	COVID-19	3	ridge_fusion_minus_ridge_ww_only	50.0	-0.29322914092871977	-0.2231453255084232	0.96	-0.2580305809952793	-0.19394553840520634	-0.12030120992883589	-0.11340069003197606
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ar	50.0	0.057417445941783024	0.038726908692193446	0.06	0.03583893065046941	0.02441188359310295	0.01707247185649725	0.01109377795883535
geo_matched_state	early_warning	COVID-19	4	ridge_fusion_minus_ridge_ww_only	50.0	-0.2581770382060375	-0.19545639196742684	0.96	-0.23059033742010857	-0.17052180553347296	-0.1065261753308737	-0.09611420617383395
geo_matched_state	early_warning	COVID-19	5	ridge_fusion_minus_ridge_ar	50.0	0.07362935534355755	0.051572475984833	0.06	0.04745446762618128	0.029791226451986	0.02200008568094824	0.0163163319378999
geo_matched_state	early_warning	COVID-19	5	ridge_fusion_minus_ridge_ww_only	50.0	-0.225404570458609	-0.1699844201043645	0.96	-0.20346050137765748	-0.15407711820888395	-0.09347419894883977	-0.08476526110888324
geo_matched_state	early_warning	COVID-19	6	ridge_fusion_minus_ridge_ar	50.0	0.08995073169841382	0.0631629791236256	0.04	0.05881107300604158	0.0390207259834198	0.027298357259364928	0.019996002356399402
geo_matched_state	early_warning	COVID-19	6	ridge_fusion_minus_ridge_ww_only	50.0	-0.19657040259072758	-0.14792792930078136	0.94	-0.17971173516577288	-0.13992571054784503	-0.0819719409751966	-0.0727595277605279
geo_matched_state	early_warning	COVID-19	7	ridge_fusion_minus_ridge_ar	50.0	0.10389927320527406	0.06762705920490095	0.04	0.07033171165765378	0.044300080813352655	0.032617676628151265	0.02104599173768765
geo_matched_state	early_warning	COVID-19	7	ridge_fusion_minus_ridge_ww_only	50.0	-0.17288551448498932	-0.13231435168286945	0.94	-0.1592962326900257	-0.12707160486290642	-0.07225796666985229	-0.06395470964032934
geo_matched_state	early_warning	COVID-19	8	ridge_fusion_minus_ridge_ar	50.0	0.1181166000315161	0.0773121506786141	0.04	0.08256095693860882	0.04252072924507535	0.03758515722725397	0.027516255504454502
geo_matched_state	early_warning	COVID-19	8	ridge_fusion_minus_ridge_ww_only	50.0	-0.15107951276559586	-0.1189657658674211	0.94	-0.14071019159926393	-0.11418440570871725	-0.06385577301380196	-0.05654216579416255
geo_matched_state	early_warning	COVID-19	9	ridge_fusion_minus_ridge_ar	50.0	0.1327417311808984	0.08348341209244685	0.02	0.0954079948139108	0.0425418858285221	0.043306345922797446	0.03443358801225585
geo_matched_state	early_warning	COVID-19	9	ridge_fusion_minus_ridge_ww_only	50.0	-0.13055278808814139	-0.10664976988912675	0.92	-0.12259579390153054	-0.09894944502405675	-0.05580370997973882	-0.052842791478965756
geo_matched_state	early_warning	COVID-19	10	ridge_fusion_minus_ridge_ar	50.0	0.14980287922522656	0.09106945163107841	0.02	0.11291926592627148	0.04991930196516475	0.050626739174175074	0.043223594042259894
